org.apache.continuum:data-management-cli:1.3.3,org.apache.continuum:data-management-cli:1.3.4,org.codehaus.plexus:plexus-container-default:1.0-alpha-20 org.slf4j:slf4j-log4j12:1.5.6 org.codehaus.plexus:plexus-classworlds:1.2-alpha-7 org.codehaus.plexus:plexus-utils:1.5.4 org.apache.continuum:data-management-api:1.3.3,org.codehaus.plexus:plexus-utils:1.5.11 org.slf4j:slf4j-log4j12:1.5.8 org.apache.continuum:data-management-api:1.3.4 org.codehaus.plexus:plexus-spring:1.2 org.slf4j:jcl-over-slf4j:1.5.8
org.apache.cxf:cxf-common-utilities:2.2.12,org.apache.cxf:cxf-common-utilities:2.3.0,org.springframework:spring-context:2.5.6 asm:asm:2.2.3 org.springframework:spring-context:2.5.6.SEC03 org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1 org.springframework:spring-beans:2.5.6 org.springframework:spring-core:2.5.6 javax.xml.bind:jaxb-api:2.1 log4j:log4j:1.2.14 org.apache.geronimo.specs:geronimo-annotation_1.0_spec:1.1.1 org.slf4j:slf4j-api:1.5.11,org.codehaus.woodstox:woodstox-core-asl:4.0.8 org.springframework:spring-context:3.0.4.RELEASE org.springframework:spring-core:3.0.4.RELEASE asm:asm:3.3 org.springframework:spring-beans:3.0.4.RELEASE org.slf4j:slf4j-api:1.6.1 log4j:log4j:1.2.16
org.apache.directory.daemon:build:1.0-RC2,org.apache.directory.daemon:build:1.0-RC3,org.slf4j:nlog4j:1.2.24,org.slf4j:nlog4j:1.2.25 org.apache.directory.shared:shared-ldap-extras-codec-api:1.0.0-M8
org.apache.directory.server:apacheds-server-tools:1.5.4,org.apache.directory.server:apacheds-server-tools:1.5.5,com.nhncorp.ntaf:ntaf-fitlibrary:20101102 org.apache.directory.server:apacheds-server-xml:1.5.4 org.springframework:spring-beans:2.0.6 org.jvnet.hudson:selenium-grid-remote-control:1.0.7-hudson-1 org.apache.directory.server:apacheds-bootstrap-partition:1.5.4 org.jvnet.hudson:selenium-grid-hub-standalone:1.0.7-hudson-1 org.seleniumhq.selenium:selenium:2.0a5 commons-cli:commons-cli:1.1 org.apache.xbean:xbean-spring:3.3 junit:junit:4.5 org.seleniumhq.selenium.grid:selenium-grid-tools:1.0.5 log4j:log4j:1.2.16 org.slf4j:slf4j-api:1.4.3 org.apache.directory.server:apacheds-server-jndi:1.5.4 org.apache.directory.shared:shared-ldap:0.9.12 org.seleniumhq.selenium:selenium-server:2.0a5 org.apache.directory.daemon:daemon-bootstrappers:1.1.5 commons-lang:commons-lang:2.3 org.springframework:spring-context:2.0.6 org.springframework:spring-core:2.0.6 com.nhncorp.ntaf:ntaf-core:20101102,commons-lang:commons-lang:2.4 log4j:log4j:1.2.14 org.springframework:spring-beans:2.5.6.SEC01 org.apache.directory.daemon:daemon-bootstrappers:1.1.6 org.apache.directory.shared:shared-cursor:0.9.15 org.apache.directory.server:apacheds-server-jndi:1.5.5 org.slf4j:slf4j-log4j12:1.5.6 org.springframework:spring-core:2.5.6.SEC01 org.slf4j:slf4j-api:1.5.6 org.apache.directory.server:apacheds-server-xml:1.5.5 org.apache.directory.shared:shared-ldap:0.9.15 org.springframework:spring-context:2.5.6.SEC01 commons-cli:commons-cli:1.2 org.apache.xbean:xbean-spring:3.5 org.apache.directory.server:apacheds-bootstrap-partition:1.5.5
org.apache.directory.server:apacheds-server-tools:1.5.5,org.apache.directory.server:apacheds-server-tools:1.5.6,commons-lang:commons-lang:2.4 org.apache.directory.daemon:daemon-bootstrappers:1.1.6 org.apache.directory.server:apacheds-server-jndi:1.5.5 org.apache.directory.shared:shared-cursor:0.9.15 org.slf4j:slf4j-log4j12:1.5.6 org.slf4j:slf4j-api:1.5.6 org.apache.directory.server:apacheds-server-xml:1.5.5 org.apache.directory.shared:shared-ldap:0.9.15 org.apache.directory.server:apacheds-bootstrap-partition:1.5.5,org.apache.directory.shared:shared-ldap-constants:0.9.18 org.apache.directory.shared:shared-ldap:0.9.18 org.apache.directory.shared:shared-ldap-schema:0.9.18 org.apache.directory.server:apacheds-server-xml:1.5.6 org.apache.directory.server:apacheds-server-jndi:1.5.6 org.slf4j:slf4j-log4j12:1.5.10 org.apache.directory.shared:shared-ldap-converter:0.9.18 org.apache.directory.shared:shared-ldap-jndi:0.9.18 org.apache.directory.shared:shared-ldap-schema-manager:0.9.18 org.apache.directory.shared:shared-ldif:0.9.18 org.apache.directory.shared:shared-ldap-schema-loader:0.9.18 org.apache.directory.shared:shared-ldap-schema-dao:0.9.18 org.apache.directory.shared:shared-asn1:0.9.18 org.apache.directory.shared:shared-cursor:0.9.18 org.apache.directory.shared:shared-dsml-parser:0.9.18 org.apache.directory.daemon:daemon-bootstrappers:1.1.7 commons-lang:commons-lang:2.5 org.slf4j:slf4j-api:1.5.10 org.apache.directory.server:apacheds-jdbm-partition:1.5.6 org.apache.directory.shared:shared-asn1-codec:0.9.18
org.apache.directory.daemon:daemon-bootstrappers:1.1.0,org.apache.directory.daemon:daemon-bootstrappers:1.1.1,org.slf4j:nlog4j:1.2.25,tanukisoft:wrapper:3.2.3 org.slf4j:slf4j-log4j12:1.4.3 org.slf4j:slf4j-api:1.4.3
org.apache.directory.server:apacheds-server-sar:1.0-RC1,org.apache.directory.server:apacheds-server-sar:1.0.2,org.springframework:spring-core:1.2.1 org.slf4j:nlog4j:1.2.19 org.apache.directory.server:apacheds-server-ssl:1.0-RC1 org.springframework:spring-beans:1.2.1 org.springframework:spring-context:1.2.1 org.apache.directory.shared:shared-ldap:0.9.5 org.apache.directory.daemon:daemon-bootstrappers:1.0-RC1,org.apache.directory.daemon:daemon-bootstrappers:1.0.2 org.apache.xmlgraphics:batik-dom:1.7 org.apache.directory.shared:shared-ldap:0.9.5.5 org.springframework:spring-context:1.2.8 javax.persistence:persistence-api:1.0 org.apache.directory.server:apacheds-server-ssl:1.0.2 org.slf4j:nlog4j:1.2.25 org.springframework:spring-beans:1.2.8 org.springframework:spring-core:1.2.8 org.apache.xmlgraphics:batik-util:1.7
org.apache.directory.server:apacheds-server-main:1.0-RC1,org.apache.directory.server:apacheds-server-main:1.0.2,org.springframework:spring-core:1.2.1 org.slf4j:nlog4j:1.2.19 org.apache.directory.server:apacheds-server-ssl:1.0-RC1 org.springframework:spring-beans:1.2.1 org.springframework:spring-context:1.2.1 org.apache.directory.server:apacheds-core:1.0-RC1 org.apache.directory.shared:shared-ldap:0.9.5 org.apache.directory.daemon:daemon-bootstrappers:1.0-RC1,org.apache.directory.daemon:daemon-bootstrappers:1.0.2 org.apache.directory.shared:shared-ldap:0.9.5.5 org.springframework:spring-context:1.2.8 com.sun.xml.fastinfoset:FastInfoset:1.2.7 org.apache.directory.server:apacheds-server-ssl:1.0.2 jdom:jdom:1.0 org.slf4j:nlog4j:1.2.25 jaxen:jaxen:1.1 org.springframework:spring-beans:1.2.8 org.springframework:spring-core:1.2.8
org.apache.directory.server:apacheds-core-integ:2.0.0-M2,org.apache.directory.server:apacheds-core-integ:2.0.0-M3,org.apache.directory.shared:shared-util:1.0.0-M7 org.apache.directory.server:apacheds-protocol-ldap:2.0.0-M2 org.apache.activemq:activemq-core:5.1.0 org.apache.directory.server:apacheds-i18n:2.0.0-M2 org.apache.directory.server:apacheds-core-annotations:2.0.0-M2 org.apache.directory.shared:shared-ldap-extras-sp:1.0.0-M7 org.apache.directory.server:apacheds-test-framework:2.0.0-M2 org.apache.directory.server:apacheds-core-jndi:2.0.0-M2 org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7 org.apache.directory.server:apacheds-server-annotations:2.0.0-M2 org.apache.camel:camel-example-spring:1.4.0 org.apache.directory.server:apacheds-core:2.0.0-M2 org.slf4j:slf4j-api:1.6.1 org.apache.directory.server:apacheds-core-api:2.0.0-M2 org.apache.directory.shared:shared-asn1-api:1.0.0-M7 org.apache.directory.shared:shared-ldap-model:1.0.0-M7 org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7 org.apache.camel:camel-jms:1.4.0,org.apache.directory.server:apacheds-core-integ:2.0.0-M2 org.slf4j:slf4j-api:1.6.2 org.apache.directory.server:apacheds-core-jndi:2.0.0-M3 org.apache.directory.shared:shared-ldap-model:1.0.0-M8 org.apache.directory.shared:shared-asn1-api:1.0.0-M8 org.apache.directory.server:apacheds-i18n:2.0.0-M3 org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M8 org.apache.directory.shared:shared-util:1.0.0-M8 org.apache.directory.server:apacheds-test-framework:2.0.0-M3 org.apache.directory.shared:shared-ldap-extras-sp:1.0.0-M8 org.apache.directory.server:apacheds-core-api:2.0.0-M3 org.apache.activemq:activemq-core:5.2.0 org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M8 log4j:log4j:1.2.14 org.apache.directory.server:apacheds-core-annotations:2.0.0-M3 org.apache.directory.server:apacheds-protocol-ldap:2.0.0-M3 org.apache.directory.server:apacheds-core:2.0.0-M3 org.apache.directory.server:apacheds-server-annotations:2.0.0-M3 org.apache.camel:camel-jms:1.6.0
org.apache.continuum:continuum-webapp:1.2.3,org.apache.continuum:continuum-webapp:1.3.1,org.apache.continuum:continuum-notifier-jabber:1.2.3 org.springframework:spring-context-support:2.5.4 org.apache.continuum:continuum-notifier-msn:1.2.3 org.codehaus.plexus:plexus-spring:1.0.1 org.apache.continuum:continuum-core:1.2.3 org.apache.continuum:continuum-notifier-wagon:1.2.3 org.apache.continuum:continuum-security:1.2.3 org.codehaus.redback:redback-xwork-integration:1.1.2 org.codehaus.redback:redback-taglib:1.1.2 org.apache.continuum:continuum-xmlrpc-server:1.2.3 org.apache.continuum:continuum-notifier-irc:1.2.3 org.codehaus.redback:redback-xwork-content:1.1.2 org.springframework:spring-web:2.5.4 org.slf4j:slf4j-log4j12:1.5.0 org.apache.continuum:continuum-reports:1.2.3 org.codehaus.plexus:plexus-mail-sender-javamail:1.0-alpha-7,org.codehaus.redback:redback-struts2-integration:1.2-beta-2 org.apache.continuum:continuum-notifier-jabber:1.3.1 org.apache.continuum:continuum-security:1.3.1 org.springframework:spring-web:2.5.6 org.apache.struts:struts2-core:2.0.14 org.apache.continuum:continuum-store:1.3.1 org.apache.continuum:continuum-distributed-master-server:1.3.1 org.apache.continuum:continuum-notifier-wagon:1.3.1 org.codehaus.plexus:plexus-spring:1.2 org.codehaus.redback:redback-struts2-content:1.2-beta-2 org.apache.struts:struts2-spring-plugin:2.0.14 org.springframework:spring-context-support:2.5.6 org.slf4j:slf4j-log4j12:1.5.6 org.slf4j:slf4j-api:1.5.6 org.apache.continuum:continuum-reports:1.3.1 org.apache.continuum:continuum-xmlrpc-server:1.3.1 org.apache.continuum:continuum-core:1.3.1 org.apache.continuum:continuum-notifier-msn:1.3.1 org.apache.continuum:continuum-notifier-irc:1.3.1 org.codehaus.redback:redback-common-integrations:1.2-beta-2 com.opensymphony:xwork:2.0.7
